"NegativeValence","PositiveValence","CognitiveValence","SocialProcesses","ArousalandRegulatory"
"Acute Threat(Fear)","Approach Motivation","Attention","Affiliation and Attachment","Arousal"
"Potential Threat(Anxiety)","Reward Learning","Perception","Social Communication","Circadian Rhythms"
"Sustained Threat","","","",""
"Frustrative Nonreward","","","",""
"Loss","","","",""
